County,FIPS,2023 Rural-Urban Continuum Codes([rural urban note]),"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval Percent","Upper 95% Confidence Interval Percent"
US (SEER+NPCR)(1),00000,N/A,"444.4 ","444.1"," 444.7","N/A "," N/A "," N/A",1744459,falling,"-0.5 ","-0.7"," -0.3"
"Union County, Florida(6)",12125,Rural,"1248.4 ","1177.5"," 1322.7","N/A "," N/A "," N/A",245,stable,"0.4 ","-0.6"," 1.5"
"Traverse County, Minnesota(6)",27155,Rural,"693.5 ","588.2"," 814.3","N/A "," N/A "," N/A",37,stable,"2.2 ","-0.9"," 5.5"
"Polk County, Texas(7)",48373,Rural,"679.5 ","648.4"," 711.8","N/A "," N/A "," N/A",436,stable,"-0.3 ","-3.1"," 2.5"
"Galax City, Virginia(6)",51640,Rural,"655 ","577.7"," 740.2","N/A "," N/A "," N/A",55,stable,"1.7 ","-0.7"," 4.0"
"Greeley County, Nebraska(6)",31077,Rural,"653.1 ","519.4"," 812.5","N/A "," N/A "," N/A",21,stable,"0.7 ","-2.3"," 3.6"
"Dewey County, South Dakota(6)",46041,Rural,"634.5 ","528.9"," 754.2","N/A "," N/A "," N/A",28,stable,"1.3 ","-0.8"," 3.6"
"Quitman County, Mississippi(6)",28119,Rural,"626.5 ","549.7"," 711.6","N/A "," N/A "," N/A",52,rising,"2.5 ","1.0"," 4.1"
"Wheatland County, Montana(6)",30107,Rural,"626 ","500.5"," 777","N/A "," N/A "," N/A",19,rising,"9.5 ","2.2"," 27.1"
"Faulk County, South Dakota(6)",46049,Rural,"625.3 ","500.9"," 774.5","N/A "," N/A "," N/A",21,rising,"3.0 ","1.0"," 5.2"
